idx,직무(업무명),업무세부내역,Analysis_name,Platfom,Pipeline Name,Pipeline Version,Group,Step,tools,version,CPUs,MEM(G),TIME(hr),nTask(병렬),SIZE(MB),USER,비고,instance_type,instance_vcpu,instance_hourly_rate,compute_cost_usd,storage_cost_usd,total_cost_usd
1,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,consolidate,consolidate_stats,python,3.9,1.0,1.0,0.1,1.0,1.0,박윤기,"WGS, 40x 기준",c6i.large,2,0.085,0.0085,1.0850694444444445e-08,0.008500010850694444
2,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,coverage_dropouts,python,3.9,2.0,4.0,4.0,1.0,1.0,,,c6i.large,2,0.085,0.34,4.340277777777778e-07,0.3400004340277778
3,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,hiphase,hiphase,1.5.0-8af3f1e,16.0,96.0,4.0,1.0,59463.0,,,c6i.12xlarge,48,2.04,8.16,0.02580859375,8.18580859375
4,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,bam_stats,samtools,1.20,2.0,8.0,2.0,1.0,104.0,,,c6i.xlarge,4,0.17,0.34,2.2569444444444447e-05,0.3400225694444445
5,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,cpg_pileup,aligned_bam_to_cpg_scores,3.0.0,16.0,32.0,1.0,1.0,2917.0,,,c6i.4xlarge,16,0.68,0.68,0.00031651475694444446,0.6803165147569445
6,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,pbstarphase_diplotype,pbstarphase,1.4.1-c0c8c26,2.0,16.0,1.0,1.0,1.0,,,c6i.2xlarge,8,0.34,0.34,1.0850694444444445e-07,0.34000010850694445
7,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,sv_stats,bcftools,1.20,2.0,4.0,1.0,1.0,1.0,,,c6i.large,2,0.085,0.085,1.0850694444444445e-07,0.08500010850694445
8,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,bcftools_stats_roh_small_variants,bcftools,1.20,2.0,4.0,1.0,1.0,35.0,,,c6i.large,2,0.085,0.085,3.797743055555556e-06,0.08500379774305557
9,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,filter_preprocessed_vcf,"bcftools
mosdepth","1.20
0.3.9",4.0,8.0,0.2,1.0,1.0,,,c6i.xlarge,4,0.17,0.034,2.170138888888889e-08,0.03400002170138889
10,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,methbat,methbat,0.15.0,2.0,4.0,0.2,1.0,5.0,,,c6i.large,2,0.085,0.017,1.0850694444444445e-07,0.017000108506944445
