직무(업무명),Analysis_name,Platform,Pipeline Name,Pipeline Version,n_groups,n_steps,n_tools,tools_list,total_cpu,total_mem_gb,total_time_hr,total_storage_gb,total_cost_usd,compute_cost_usd,storage_cost_usd,cost_per_hour
DNA Chip,Axiom Human Best Practice Analysis,Axiom Microarray,BestPractice,-,11,18,10,"R, apt-format-result, apt-geno-qc, apt-genotype-axiom, apt_tool, bash, perl, plink, ps-classification, ps-metrics",49,69,0.8,10.6,0.4,0.4,0.0,0.5
DNA Chip,Axiom Human KNIH Protocol Analysis,Axiom Microarray,KNIHprotocol,-,14,14,10,"R, apt-format-result, apt-geno-qc, apt-genotype-axiom, apt_tool, bash, perl, plink, ps-classification, ps-metrics",25,105,6.0,9.4,3.2,3.2,0.0,0.5
DNA Chip,DNAGPS,Axiom Microarray,Inhouse,1.0.0,4,4,6,"Python, apt-genotype-axiom, perl, plink, ps-classification, ps-metrics",7,18,0.2,0.0,0.0,0.0,0.0,0.1
DNA Chip,Genome-Wide Assocication Stuty(GWAS),Microarray,Inhouse,1.0.0,5,5,4,"Python, R, locuszoom, plink",6,14,2.4,2.3,0.2,0.2,0.0,0.1
DNA Chip,Illumina Copy Number Variation(CNV) analysis,Illumina Microarray,Inhouse,1.0.0,2,2,2,"CNV Region Report plugin, cnvPartition plugi",8,8,2.5,7.2,0.4,0.4,0.0,0.2
DNA Chip,Illumina Human Analysis,Illumina Microarray,Inhouse,1.0.0,5,5,4,"Python, R, array-analysis-cli, plink2",10,48,0.4,8.4,0.2,0.2,0.0,0.5
DNA Chip,Polygenic Rist Score(PRS) Analysis,Microarray,Inhouse,1.0.0,4,4,4,"PRScs, PRSice2, bigsnpr, plink",16,56,0.1,1.3,0.0,0.0,0.0,0.3
DNA Chip,Post-GWAS downstream analysis,Microarray,Inhouse,1.0.0,6,19,14,"METAL, MR-MEGA, MendelianRandomization, R, TwoSampleMR, coloc, gcta64, locuscomparer, magma, plink...",332,1208,8.8,43.3,21.1,21.1,0.0,2.4
Pangenome,Fungi Pangenome construction,PacBio Sequel,Inhouse,1.0.0,4,4,7,"Minigraph-Cactus, Quast, RagTag, RepeatMasker, RepeatModeler, TGS-GapCloser, bash",150,644,14.0,44.8,154.8,154.8,0.0,11.1
Whole Exome Sequencing,Illumina Novaseq  DNAGPS VN,Illumina NoavaSeq,Inhouse,1.0.0,7,7,12,"bcftools, bwa mem, gatk CombineGVCFs, gatk FastqToSam, gatk GenotypeGVCFs, gatk HaplotypeCaller, gatk MarkDuplicates, gatk MarkIlluminaAdapters, picard MergeBamAlignment, picard SamToFastq...",37,400,2.9,27.4,3.9,3.9,0.0,1.3
Whole Exome Sequencing,Illumina Novaseq Human Germline Copy Number Variation,Illumina NoavaSeq,gatk CNV Germline Cohort Workflow,1.0.0,16,18,13,"R, bash, gatk AnnotateIntervals, gatk CollectReadCounts, gatk DetermineGermlineContigPloidy, gatk FilterIntervals, gatk GermlineCNVCaller, gatk IntervalListTools, gatk PostprocessGermlineCNVCalls, gatk PreprocessIntervals...",24,88,4.1,0.3,16.4,16.4,0.0,4.0
Whole Exome Sequencing,Illumina Novaseq Human Whole Exome Sequencing,Illumina NovaSeq,"Inhouse, warp - ExomeGermlineSingleSample, warp - JointGenotyping",1.0.0,24,44,45,"FastQ Screen, SnpEff, VerifyBamID, bash, bcftools, bedtools, bwa mem, gatk ApplyBQSR, gatk ApplyVQSR, gatk BaseRecalibrator...",169,429,9.2,65.8,7.0,7.0,0.0,0.8
Whole Genome Sequencing,Illumina Novaseq Human Structural Variant,Illumina NovaSeq,"nf-core/sarek, Inhouse",3.5.1,7,14,11,"AnnotSV, SnpEff, bcftools, bgzip, gawk, manta, mosdepth, multiqc, samtools, tabix...",38,80,5.9,0.4,31.1,31.1,0.0,5.3
Whole Genome Sequencing,Illumina Novaseq Human Whole Genome Sequencing,Illumina NovaSeq,"Inhouse, warp - WholeGenomeGermlineSingleSample, warp - JointGenotyping",1.0.0,24,46,47,"FastQ Screen, SnpEff, VerifyBamID, bash, bcftools, bwa mem, gatk ApplyBQSR, gatk ApplyVQSR, gatk BaseRecalibrator, gatk CollectVariantCallingMetrics...",172,574,82.4,521.0,216.8,216.6,0.2,2.6
Whole Genome Sequencing,Illumina Novaseq non-Human Whole Genome Sequencing,Illumina NovaSeq,"Inhouse, warp - WholeGenomeGermlineSingleSample, warp - JointGenotyping",1.0.0,17,32,35,"FastQ Screen, SnpEff, bash, bcftools, bwa mem, gatk FastqToSam, gatk GatherVcfsCloud, gatk GenomicsDBImport, gatk GenotypeGVCFs, gatk HaplotypeCaller...",151,366,48.1,428.2,227.6,227.0,0.6,4.7
Whole Genome Sequencing,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,"Hifi-human-WGS-WDL, Inhouse",3.1.0,6,34,22,"aligned_bam_to_cpg_scores, bcftools, deepvariant, fastqc, hiphase, methbat, mitorsaw, mosdepth, multiqc, nanostat...",317,1232,66.6,364.1,257.5,257.3,0.2,3.9
단백질 데이터 통계 분석,Olink-Somascan Proteomics downstream analysis,"Olink, Somascan",Inhouse,1.0.0,4,31,2,"R, python",91,424,1.8,0.4,1.0,1.0,0.0,0.6
커스텀 분석,Kinics-ICS,Axiom Microarray,Inhouse,1.0.0,1,6,5,"R, Shapeit, perl, plink1.9, python",11,26,33.7,2.0,177.7,177.7,0.0,5.3
커스텀 분석,Proteome-Wide Association Study(PWAS),"Microarray, Olink",Inhouse,1.0.0,24,31,11,"R, TIGAR, bash, bcftools, coloc, ivreg, ldsc, locuszoom, plink, python...",558,488,92.8,277.6,12926.2,12926.1,0.1,139.4
