idx,직무(업무명),업무세부내역,Analysis_name,Platfom,Pipeline Name,Pipeline Version,Group,Step,tools,version,CPUs,MEM(G),TIME(hr),nTask(병렬),SIZE(MB),USER,비고
1,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,ASSEMBLY,HIFIASM_ASSEMBLE,hifiasm,0.25.0,64.0,48.0,4.0,1.0,3000.0,백성용,
2,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,ASSEMBLY,GFA_TO_FASTA,gfatools,0.5.5,1.0,8.0,0.2,1.0,1000.0,백성용,
3,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,PURGE_DUPS,RAWDATA_MAPPING,minimap2,2.28,64.0,32.0,1.0,1.0,2000.0,백성용,
4,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,PURGE_DUPS,MAKE_STATS,pbcstat / calcuts,1.2.6,4.0,8.0,0.2,1.0,1.0,백성용,
5,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,PURGE_DUPS,PURGE_DUPS_STEP1,purge_dups,1.2.6,64.0,48.0,0.3,1.0,2000.0,백성용,
6,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,PURGE_DUPS,PURGE_DUPS_STEP2,purge_dups,1.2.6,4.0,8.0,0.2,1.0,1000.0,백성용,
7,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,PURGE_DUPS,PURGE_DUPS_STEP3 (get_seqs),get_seqs,1.2.6,4.0,4.0,0.1,1.0,1000.0,백성용,
8,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,FCS_GX,FCS_GX_SCREEN,fcs-gx,0.5.5,32.0,510.0,3.0,1.0,5.0,백성용,
9,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,FCS_GX,FCS_GX_CLEAN,fcs-gx,0.5.5,4.0,16.0,0.2,1.0,1000.0,백성용,
10,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,FCS_GX,FCS_GX_REMAP_READS,minimap2,2.28,64.0,32.0,1.0,1.0,2000.0,백성용,
11,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,FCS_GX,FCS_GX_MAKE_STATS,pbcstat / calcuts,1.2.6,4.0,8.0,0.2,1.0,1.0,백성용,
12,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,FCS_GX,FCS_GX_PURGE_STEP1,purge_dups,1.2.6,64.0,48.0,0.3,1.0,2000.0,백성용,
13,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,FCS_GX,FCS_GX_PURGE_STEP2,purge_dups,1.2.6,4.0,8.0,0.2,1.0,1000.0,백성용,
14,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,FCS_GX,FCS_GX_PURGE_STEP3 (get_seqs),get_seqs,1.2.6,4.0,4.0,0.1,1.0,1000.0,백성용,
15,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,PAQMAN,PAQMAN_EVAL (7-metric A/B),paqman,inhouse,16.0,48.0,2.0,1.0,1000.0,백성용,
16,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,PAQMAN,PAQMAN_COMPARE (select best),python,-,1.0,1.0,0.1,1.0,1000.0,백성용,
17,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,GENOME_ASSESSMENT,BUSCO,busco,6.0.0,32.0,40.0,1.0,1.0,700.0,백성용,
18,Large Genome Analysis,De novo Assembly,assembly (genome 1-3GB),PacBio Revio,inhouse,2.0.0,ASSEMBLY,HIFIASM_ASSEMBLE,hifiasm,0.25.0,64.0,128.0,24.0,1.0,9000.0,백성용,
19,Large Genome Analysis,De novo Assembly,assembly (genome 1-3GB),PacBio Revio,inhouse,2.0.0,ASSEMBLY,GFA_TO_FASTA,gfatools,0.5.5,1.0,8.0,0.3,1.0,3000.0,백성용,
20,Large Genome Analysis,De novo Assembly,assembly (genome 1-3GB),PacBio Revio,inhouse,2.0.0,PURGE_DUPS,RAWDATA_MAPPING,minimap2,2.28,64.0,32.0,3.0,1.0,5000.0,백성용,
21,Large Genome Analysis,De novo Assembly,assembly (genome 1-3GB),PacBio Revio,inhouse,2.0.0,PURGE_DUPS,MAKE_STATS,pbcstat / calcuts,1.2.6,4.0,8.0,0.2,1.0,1.0,백성용,
22,Large Genome Analysis,De novo Assembly,assembly (genome 1-3GB),PacBio Revio,inhouse,2.0.0,PURGE_DUPS,PURGE_DUPS_STEP1,purge_dups,1.2.6,64.0,64.0,0.5,1.0,5000.0,백성용,
23,Large Genome Analysis,De novo Assembly,assembly (genome 1-3GB),PacBio Revio,inhouse,2.0.0,PURGE_DUPS,PURGE_DUPS_STEP2,purge_dups,1.2.6,4.0,16.0,0.3,1.0,2500.0,백성용,
