idx,직무(업무명),업무세부내역,Analysis_name,Platfom,Pipeline Name,Pipeline Version,Group,Step,tools,version,CPUs,MEM(G),TIME(hr),nTask(병렬),SIZE(MB),USER,비고,instance_type,instance_vcpu,instance_hourly_rate,compute_cost_usd,storage_cost_usd,total_cost_usd
1,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,QC,1.0.0,rRNA,rRNA ratio,ribopicker,0.4.3,1.0,8.0,3.0,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.xlarge,4.0,0.17,0.51,3.255208333333334e-07,0.5100003255208333
2,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,QC,1.0.0,gene body coverage,Align,STAR,2.7.1a,16.0,40.0,1.5,1.0,1800.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.8xlarge,32.0,1.36,2.04,0.00029296875,2.04029296875
3,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,QC,1.0.0,gene body coverage,Indexing,samtools,1.9-74-gf69e678,1.0,1.0,0.2,1.0,5.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.017,1.0850694444444445e-07,0.017000108506944445
4,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,QC,1.0.0,gene body coverage,Read distribution,python - module,5.0.4,10.0,6.0,8.0,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.4xlarge,16.0,0.68,5.44,8.680555555555556e-07,5.440000868055556
5,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,QC,1.0.0,gene body coverage,Gene body coverage,python - module,5.0.4,2.0,6.0,2.0,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.xlarge,4.0,0.17,0.34,2.170138888888889e-07,0.34000021701388894
6,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Rawdata Prepare,Decompress,zcat,1.9,2.0,8.0,0.1,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.xlarge,4.0,0.17,0.017,1.0850694444444445e-08,0.017000010850694445
7,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Reference Prepare,Reference Prepare,gffread,0.12.7,1.0,3.0,0.1,1.0,300.0,"김현승, 양요한","reference 3GB, GFF 300Mb 기준",c6i.large,2.0,0.085,0.0085,3.2552083333333335e-06,0.008503255208333334
8,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Reference Prepare,Annotation parsing,python,3.6.8,1.0,1.0,0.1,1.0,10.0,"김현승, 양요한","reference 3GB, GFF 300Mb 기준",c6i.large,2.0,0.085,0.0085,1.0850694444444445e-07,0.008500108506944446
9,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Expression,Alignment,kallisto,2.14.0,4.0,8.0,0.3,1.0,20.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.xlarge,4.0,0.17,0.051000000000000004,6.510416666666668e-07,0.05100065104166667
10,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Expression,Merge,R,4.0.5,1.0,1.0,0.1,1.0,100.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,1.0850694444444444e-06,0.008501085069444445
11,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,DEG,DE analysis,edgeR,3.22,1.0,1.0,0.1,1.0,10.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,1.0850694444444445e-07,0.008500108506944446
12,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,DEG,cutoff,perl,v5.16.3,1.0,1.0,0.1,1.0,10.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,1.0850694444444445e-07,0.008500108506944446
13,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Report,Visualization,R,4.0.5,1.0,1.0,0.1,1.0,1.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,1.0850694444444445e-08,0.008500010850694444
14,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,Kallisto_DEG,1.0.0,Report,Knitting Report,R,4.0.5,1.0,1.0,0.1,1.0,2.0,"김현승, 양요한",기본 RNAseq 5Gb 기준,c6i.large,2.0,0.085,0.0085,2.170138888888889e-08,0.00850002170138889
15,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.1.0,Otholog Annotation,Make protein DB,diamond,2.1.11,1.0,8.0,1.0,1.0,30.0,김현승,"reference 3GB, GFF 300Mb 기준",c6i.xlarge,4.0,0.17,0.17,3.2552083333333335e-06,0.17000325520833334
16,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.1.0,Otholog Annotation,Match DB with transcript,diamond,2.1.11,64.0,60.0,1.0,1.0,20.0,김현승,"reference 3GB, GFF 300Mb 기준",c6i.16xlarge,64.0,2.72,2.72,2.170138888888889e-06,2.7200021701388892
