idx,직무(업무명),업무세부내역,Analysis_name,Platfom,Pipeline Name,Pipeline Version,Group,Step,tools,version,CPUs,MEM(G),TIME(hr),nTask(병렬),SIZE(MB),USER,비고
1,Short RNA Sequencing,기본분석,RNASeq_noBAM_DEG,Illumina NovaSeq,QC,1.0.0,rRNA,rRNA ratio,ribopicker,0.4.3,1,8,3,1,1,"김현승, 양요한",기본 RNAseq 5Gb 기준
2,Short RNA Sequencing,기본분석,,Illumina NovaSeq,QC,1.0.0,gene body coverage,Align,STAR,2.7.1a,16,40,1.5,1,1800,"김현승, 양요한",기본 RNAseq 5Gb 기준
3,Short RNA Sequencing,기본분석,,Illumina NovaSeq,QC,1.0.0,,Indexing,samtools,1.9-74-gf69e678,1,1,0.2,1,5,"김현승, 양요한",기본 RNAseq 5Gb 기준
4,Short RNA Sequencing,기본분석,,Illumina NovaSeq,QC,1.0.0,,Read distribution,python - module,5.0.4,10,6,8,1,1,"김현승, 양요한",기본 RNAseq 5Gb 기준
5,Short RNA Sequencing,기본분석,,Illumina NovaSeq,QC,1.0.0,,Gene body coverage,python - module,5.0.4,2,6,2,1,1,"김현승, 양요한",기본 RNAseq 5Gb 기준
6,Short RNA Sequencing,기본분석,,Illumina NovaSeq,Kallisto_DEG,1.0.0,Rawdata Prepare,Decompress,zcat,1.9,2,8,0.1,1,1,"김현승, 양요한",기본 RNAseq 5Gb 기준
7,Short RNA Sequencing,기본분석,,Illumina NovaSeq,Kallisto_DEG,1.0.0,Reference Prepare,Reference Prepare,gffread,0.12.7,1,3,0.1,1,300,"김현승, 양요한","reference 3GB, GFF 300Mb 기준"
8,Short RNA Sequencing,기본분석,,Illumina NovaSeq,Kallisto_DEG,1.0.0,,Annotation parsing,python,3.6.8,1,1,0.1,1,10,"김현승, 양요한","reference 3GB, GFF 300Mb 기준"
9,Short RNA Sequencing,기본분석,,Illumina NovaSeq,Kallisto_DEG,1.0.0,Expression,Alignment,kallisto,2.14.0,4,8,0.3,1,20,"김현승, 양요한",기본 RNAseq 5Gb 기준
10,Short RNA Sequencing,기본분석,,Illumina NovaSeq,Kallisto_DEG,1.0.0,,Merge,R,4.0.5,1,1,0.1,1,100,"김현승, 양요한",기본 RNAseq 5Gb 기준
11,Short RNA Sequencing,기본분석,,Illumina NovaSeq,Kallisto_DEG,1.0.0,DEG,DE analysis,edgeR,3.22,1,1,0.1,1,10,"김현승, 양요한",기본 RNAseq 5Gb 기준
12,Short RNA Sequencing,기본분석,,Illumina NovaSeq,Kallisto_DEG,1.0.0,,cutoff,perl,v5.16.3,1,1,0.1,1,10,"김현승, 양요한",기본 RNAseq 5Gb 기준
13,Short RNA Sequencing,기본분석,,Illumina NovaSeq,Kallisto_DEG,1.0.0,Report,Visualization,R,4.0.5,1,1,0.1,1,1,"김현승, 양요한",기본 RNAseq 5Gb 기준
14,Short RNA Sequencing,기본분석,,Illumina NovaSeq,Kallisto_DEG,1.0.0,,Knitting Report,R,4.0.5,1,1,0.1,1,2,"김현승, 양요한",기본 RNAseq 5Gb 기준
15,Short RNA Sequencing,기본분석,,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.1.0,Otholog Annotation,Make protein DB,diamond,2.1.11,1,8,1,1,30,김현승,"reference 3GB, GFF 300Mb 기준"
16,Short RNA Sequencing,기본분석,,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.1.0,,Match DB with transcript,diamond,2.1.11,64,60,1,1,20,김현승,"reference 3GB, GFF 300Mb 기준"
17,Short RNA Sequencing,기본분석,,Illumina NovaSeq,"Functional Analysis(GO, KEGG)",1.1.0,,Parsing,python,3.6.8,1,0.1,0.1,1,20,김현승,"reference 3GB, GFF 300Mb 기준"
